trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
234,False,"{'a': 1.0, 'e': 0.0009901468385916778}",35,6,47.204193662952655,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 1.0, 'e': 0.0009110511944006448}",20,14,8.23494966258372,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 1.0, 'e': 0.000838268625380576}",20,10,17.88003383322408,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 1.0, 'e': 0.0007712960622871666}",25,19,10.115411302183348,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 1.0, 'e': 0.0007096703991005878}",20,6,24.337280742779853,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 1.0, 'e': 0.0006529653375526925}",30,12,32.93779673143939,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 1.0, 'e': 0.0006007884778624104}",20,7,25.62748247232177,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 1.0, 'e': 0.0005527786369235992}",20,13,11.473902111767387,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 1.0, 'e': 0.0005086033765475114}",30,11,30.356130762883563,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 1.0, 'e': 0.00046795672563293596}",25,15,15.379012206923807,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 1.0, 'e': 0.0004305570813246143}",20,14,12.616657634705213,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 1.0, 'e': 0.000396145275328598}",25,11,25.022310998378472,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 1.0, 'e': 0.0003644827925858247}",25,17,11.524789660809057,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 1.0, 'e': 0.00033535013046647854}",20,7,23.26977424063389,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 1.0, 'e': 0.00030854528754147963}",25,12,24.416413561190623,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 1.0, 'e': 0.0002838823718178778}",30,21,15.533796151548298,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 1.0, 'e': 0.00026119031909572}",20,9,17.96994447302367,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 1.0, 'e': 0.00024031171281892639}",20,0,32.3719641880239,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
252,False,"{'a': 1.0, 'e': 0.0002211016974553722}",20,5,12.270967242377889,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 1.0, 'e': 0.00020342697805520658}",25,11,27.042041438937442,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 1.0, 'e': 0.0001871648992047422}",25,17,14.491095850366413,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 1.0, 'e': 0.0001722025971190258}",20,8,26.51756970040467,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 1.0, 'e': 0.00015843621910252602}",20,14,11.841018363842455,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 1.0, 'e': 0.00014577020505691013}",30,23,8.016697905504376,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 1.0, 'e': 0.00013411662613031336}",20,15,8.361959596792275,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 1.0, 'e': 0.0001233945759862318}",20,14,11.98895946107942,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 1.0, 'e': 0.00011352961052453673}",20,8,17.415600458197257,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
