trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 1.0, 'e': 0.9997751832297667}",20,0,-24.460162395643863,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 1.0, 'e': 0.9997515449181605}",25,0,-116.18673870885432,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 1.0, 'e': 0.9997254218438986}",20,0,-103.71948132085384,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
45,False,"{'a': 1.0, 'e': 0.9996965529699712}",20,0,-55.26034722944819,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 1.0, 'e': 0.9996646498695336}",25,0,-230.5694060032167,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 5}",0
47,False,"{'a': 1.0, 'e': 0.9996293938593735}",20,0,-178.74636044316821,"{0: 8, 1: 6, 2: 2, 3: 1, 4: 3}",0
48,False,"{'a': 1.0, 'e': 0.9995904328350139}",20,0,-2.3894485037988438,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
49,False,"{'a': 1.0, 'e': 0.9995473777767595}",20,0,-29.830283134885704,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 1.0, 'e': 0.9994997988929205}",30,0,-115.79733068348338,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
51,False,"{'a': 1.0, 'e': 0.9994472213630764}",30,0,-196.03472185519365,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
52,False,"{'a': 1.0, 'e': 0.9993891206405656}",30,0,-166.6332558508446,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
53,False,"{'a': 1.0, 'e': 0.9993249172693672}",35,1,-116.7019400320064,"{0: 20, 1: 6, 2: 7, 3: 0, 4: 1}",1
54,False,"{'a': 1.0, 'e': 0.9992539711661633}",25,0,-123.98030545104817,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
55,False,"{'a': 1.0, 'e': 0.9991755753136017}",25,0,-55.84782369512376,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
56,False,"{'a': 1.0, 'e': 0.9990889488055994}",20,0,-24.52070877397047,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
57,False,"{'a': 1.0, 'e': 0.9989932291799144}",25,0,-78.01974911600149,"{0: 12, 1: 8, 2: 5, 3: 0, 4: 0}",0
58,False,"{'a': 1.0, 'e': 0.9988874639671398}",20,0,-28.29878455759544,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 1.0, 'e': 0.9987706013787226}",20,2,-87.16541252337294,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
60,False,"{'a': 1.0, 'e': 0.9986414800495711}",30,0,-160.13624733031781,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
61,False,"{'a': 1.0, 'e': 0.998498817743263}",20,0,-38.54860122915124,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 1.0, 'e': 0.9983411989198255}",25,0,-152.14626307233837,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
63,False,"{'a': 1.0, 'e': 0.9981670610575072}",20,0,-70.92933264560509,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
64,False,"{'a': 1.0, 'e': 0.9979746796109501}",25,0,-187.47098094920477,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
65,False,"{'a': 1.0, 'e': 0.9977621514787236}",30,0,-108.26175926970062,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
66,False,"{'a': 1.0, 'e': 0.9975273768433653}",20,0,-88.00511204203389,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
67,False,"{'a': 1.0, 'e': 0.997268039236989}",20,0,-85.32227306818133,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
68,False,"{'a': 1.0, 'e': 0.9969815836752917}",20,0,-188.922523265264,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
69,False,"{'a': 1.0, 'e': 0.9966651926925867}",30,0,-143.9333980290808,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
70,False,"{'a': 1.0, 'e': 0.9963157601005641}",30,0,-80.61978417503248,"{0: 18, 1: 6, 2: 6, 3: 0, 4: 0}",0
71,False,"{'a': 1.0, 'e': 0.995929862284104}",20,0,-63.5478051113437,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
72,False,"{'a': 1.0, 'e': 0.9955037268390589}",25,0,-78.09783056938019,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 1.0, 'e': 0.995033198349943}",20,0,-166.5260772253841,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
74,False,"{'a': 1.0, 'e': 0.9945137011005495}",20,0,-102.4853281205458,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
75,False,"{'a': 1.0, 'e': 0.9939401985084158}",20,0,-141.6785016390791,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
76,False,"{'a': 1.0, 'e': 0.9933071490757153}",20,0,-115.49557257468433,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
77,False,"{'a': 1.0, 'e': 0.9926084586557181}",35,0,-166.62274160142357,"{0: 23, 1: 3, 2: 6, 3: 0, 4: 3}",0
78,False,"{'a': 1.0, 'e': 0.9918374288468401}",25,0,-136.875565528497,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
79,False,"{'a': 1.0, 'e': 0.990986701347152}",20,0,-116.67270661386787,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
80,False,"{'a': 1.0, 'e': 0.9900481981330957}",25,0,-121.75747262226551,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
81,False,"{'a': 1.0, 'e': 0.9890130573694068}",25,0,-42.319067460867856,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
82,False,"{'a': 1.0, 'e': 0.9878715650157257}",20,0,-107.16498547867721,"{0: 7, 1: 6, 2: 6, 3: 1, 4: 0}",0
83,False,"{'a': 1.0, 'e': 0.9866130821723351}",30,0,-249.2169839735824,"{0: 14, 1: 3, 2: 9, 3: 0, 4: 4}",0
84,False,"{'a': 1.0, 'e': 0.9852259683067269}",20,0,-242.9310025737215,"{0: 4, 1: 4, 2: 7, 3: 2, 4: 3}",0
85,False,"{'a': 1.0, 'e': 0.9836975006285591}",20,0,-88.86994199972075,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 0}",0
86,False,"{'a': 1.0, 'e': 0.9820137900379085}",25,0,-116.34468912343047,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 1.0, 'e': 0.9801596942659225}",25,0,-119.64305399662148,"{0: 14, 1: 0, 2: 9, 3: 2, 4: 0}",0
88,False,"{'a': 1.0, 'e': 0.9781187290638694}",30,0,-99.79875362253225,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
89,False,"{'a': 1.0, 'e': 0.9758729785823308}",20,0,-116.17556881136667,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",1
90,False,"{'a': 1.0, 'e': 0.973403006423134}",35,0,-130.89195306934067,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
91,False,"{'a': 1.0, 'e': 0.9706877692486436}",20,0,-30.468801581468767,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
92,False,"{'a': 1.0, 'e': 0.9677045353015495}",30,0,-94.67520583820155,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
93,False,"{'a': 1.0, 'e': 0.9644288107273639}",20,0,-108.68437599257041,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
94,False,"{'a': 1.0, 'e': 0.9608342772032357}",20,0,-120.17593471890855,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
95,False,"{'a': 1.0, 'e': 0.9568927450589139}",25,0,-187.4348774008881,"{0: 10, 1: 8, 2: 4, 3: 0, 4: 3}",0
96,False,"{'a': 1.0, 'e': 0.9525741268224331}",20,0,-161.12604168316227,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
97,False,"{'a': 1.0, 'e': 0.9478464369215823}",25,0,-164.37681367858016,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
98,False,"{'a': 1.0, 'e': 0.9426758241011313}",30,0,-173.35604194507988,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
99,False,"{'a': 1.0, 'e': 0.9370266439430035}",25,0,-74.51874192186871,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
100,False,"{'a': 1.0, 'e': 0.9308615796566531}",25,0,-155.72001399531837,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
101,False,"{'a': 1.0, 'e': 0.9241418199787566}",25,0,-96.65682055777808,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
102,False,"{'a': 1.0, 'e': 0.9168273035060777}",30,0,-111.25762408887178,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
103,False,"{'a': 1.0, 'e': 0.9088770389851439}",20,0,-7.055034739075393,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 1.0, 'e': 0.9002495108803148}",30,0,-117.00784755029191,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
105,False,"{'a': 1.0, 'e': 0.8909031788043871}",20,0,-19.733185949239118,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 1.0, 'e': 0.8807970779778825}",20,0,-119.14121159058281,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
107,False,"{'a': 1.0, 'e': 0.8698915256370021}",25,0,-145.5321340561817,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
108,False,"{'a': 1.0, 'e': 0.8581489350995123}",20,0,-131.7120879035294,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
109,False,"{'a': 1.0, 'e': 0.8455347349164652}",25,0,-124.78702495819823,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
110,False,"{'a': 1.0, 'e': 0.8320183851339245}",20,0,-101.45609831974208,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
111,False,"{'a': 1.0, 'e': 0.8175744761936437}",30,0,-120.71781547098993,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 3}",0
112,False,"{'a': 1.0, 'e': 0.8021838885585817}",25,0,-71.75656085137487,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
113,False,"{'a': 1.0, 'e': 0.7858349830425586}",20,0,-72.15211832237445,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
114,False,"{'a': 1.0, 'e': 0.7685247834990175}",30,15,-76.81400171747208,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
115,False,"{'a': 1.0, 'e': 0.7502601055951175}",20,0,-97.36733320514746,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
116,False,"{'a': 1.0, 'e': 0.7310585786300048}",30,0,-139.58760769535817,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
117,False,"{'a': 1.0, 'e': 0.7109495026250039}",20,3,-130.53158915902213,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 3}",1
118,False,"{'a': 1.0, 'e': 0.6899744811276123}",25,0,-62.38983393721615,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 1.0, 'e': 0.6681877721681663}",25,0,-23.193966083912205,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
120,False,"{'a': 1.0, 'e': 0.6456563062257956}",20,0,-18.6128668939983,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
121,False,"{'a': 1.0, 'e': 0.6224593312018547}",20,3,-103.70992010749204,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
122,False,"{'a': 1.0, 'e': 0.5986876601124521}",30,0,-154.52559196572196,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 4}",0
123,False,"{'a': 1.0, 'e': 0.574442516811659}",25,0,-129.72826302099153,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
