trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 1.0, 'e': 0.9997751832297667}",30,0,-137.88992371281157,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
43,False,"{'a': 1.0, 'e': 0.9997515449181605}",20,0,-128.5140401997895,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
44,False,"{'a': 1.0, 'e': 0.9997254218438986}",20,0,-82.07922594699626,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 1.0, 'e': 0.9996965529699712}",30,0,-171.03027022917098,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
46,False,"{'a': 1.0, 'e': 0.9996646498695336}",25,0,-18.77469789478146,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 1.0, 'e': 0.9996293938593735}",20,0,-61.60439533165791,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 1.0, 'e': 0.9995904328350139}",25,0,-137.04647839502576,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
49,False,"{'a': 1.0, 'e': 0.9995473777767595}",25,0,-182.6660016899237,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
50,False,"{'a': 1.0, 'e': 0.9994997988929205}",25,0,-39.760968192567816,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 1.0, 'e': 0.9994472213630764}",20,6,-46.38923266031223,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 1.0, 'e': 0.9993891206405656}",25,0,-106.20257124744596,"{0: 11, 1: 4, 2: 10, 3: 0, 4: 0}",0
53,False,"{'a': 1.0, 'e': 0.9993249172693672}",20,0,-215.4341913847887,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
54,False,"{'a': 1.0, 'e': 0.9992539711661633}",25,0,-150.5084911425633,"{0: 10, 1: 4, 2: 10, 3: 0, 4: 1}",0
55,False,"{'a': 1.0, 'e': 0.9991755753136017}",25,0,-254.16365255634045,"{0: 10, 1: 2, 2: 8, 3: 1, 4: 4}",0
56,False,"{'a': 1.0, 'e': 0.9990889488055994}",20,0,-57.76164077991841,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
57,False,"{'a': 1.0, 'e': 0.9989932291799144}",25,0,-74.93135339540638,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 1.0, 'e': 0.9988874639671398}",30,0,-130.03754499748143,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
59,False,"{'a': 1.0, 'e': 0.9987706013787226}",20,0,-73.98139178866877,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 1.0, 'e': 0.9986414800495711}",25,0,-244.6220072254278,"{0: 10, 1: 5, 2: 5, 3: 1, 4: 4}",0
61,False,"{'a': 1.0, 'e': 0.998498817743263}",25,0,-62.48881970082357,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
62,False,"{'a': 1.0, 'e': 0.9983411989198255}",25,0,-42.2104324230744,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 1.0, 'e': 0.9981670610575072}",20,0,-123.09130980670854,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
64,False,"{'a': 1.0, 'e': 0.9979746796109501}",20,0,-77.36243351028187,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 1.0, 'e': 0.9977621514787236}",25,0,-94.55716079184148,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",1
66,False,"{'a': 1.0, 'e': 0.9975273768433653}",20,0,-51.46539274061976,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
